Red Collared-Dove (<em class="sci">Streptopelia tranquebarica</em>)	0.0641711	0.0598291	0.0383387	0.0671835	0.0632184	0.0311615	0.0408805	0.0408805	0.0230263	0.0414747	0.0654545	0.0152284	0.0367647	0.020202	0.0	0.0342466	0.0347826	0.0273973	0.0306122	0.075	0.0648148	0.0434783	0.0232558	0.0446429	0.0506329	0.0727273	0.0461538	0.0015	0.0344828	0.0333333	0.0	0.0015	0.0	0.0	0.0	0.0	0.0015	0.0425532	0.1153846	0.0529101	0.0457516	0.0855263	0.0344828	0.0357143	0.0757576	0.0719424	0.0469799	0.0167598	
Spotted Dove (<em class="sci">Spilopelia chinensis</em>)	0.2834225	0.3461538	0.3354633	0.3488372	0.3505747	0.2776204	0.3176101	0.3396226	0.2993421	0.3317972	0.3345455	0.2233503	0.1985294	0.1818182	0.1901408	0.1917808	0.2173913	0.2191781	0.244898	0.125	0.2777778	0.1521739	0.2403101	0.3035714	0.3417722	0.2909091	0.2923077	0.2871287	0.3448276	0.3166667	0.2727273	0.2830189	0.4722222	0.4	0.125	0.25	0.2093023	0.2234043	0.4615385	0.2698413	0.2614379	0.3815789	0.2816092	0.3988095	0.3560606	0.3884892	0.3020134	0.3184358	
Barred Cuckoo-Dove (<em class="sci">Macropygia unchall</em>)	0.0	0.0	0.0	0.002584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Little Cuckoo-Dove (<em class="sci">Macropygia ruficeps</em>)	0.0320856	0.034188	0.0319489	0.0129199	0.0402299	0.0113314	0.0660377	0.0251572	0.0164474	0.0092166	0.0072727	0.0050761	0.0073529	0.010101	0.0070423	0.0	0.0173913	0.0	0.0102041	0.0	0.0092593	0.0	0.0077519	0.0089286	0.0	0.0363636	0.0015	0.009901	0.0	0.0166667	0.0	0.0	0.0	0.0	0.0	0.0	0.0232558	0.0106383	0.0	0.0	0.0065359	0.0015	0.0	0.0178571	0.0	0.0	0.033557	0.0223464	
Asian Emerald Dove (<em class="sci">Chalcophaps indica</em>)	0.2299465	0.2777778	0.2555911	0.3126615	0.362069	0.2351275	0.2515723	0.2987421	0.3322368	0.3271889	0.3018182	0.3553299	0.2205882	0.2929293	0.2887324	0.239726	0.2869565	0.2739726	0.2653061	0.3	0.25	0.3478261	0.3255814	0.3035714	0.4177215	0.3636364	0.2615385	0.3069307	0.3103448	0.1666667	0.2121212	0.2264151	0.0833333	0.0666667	0.0625	0.25	0.0697674	0.1489362	0.0961538	0.1111111	0.1830065	0.2631579	0.1724138	0.2261905	0.2272727	0.294964	0.3422819	0.2458101	
Zebra Dove (<em class="sci">Geopelia striata</em>)	0.0481283	0.0726496	0.0702875	0.0671835	0.0574713	0.0424929	0.0471698	0.0440252	0.0592105	0.0414747	0.0472727	0.0507614	0.0220588	0.020202	0.0140845	0.0273973	0.0434783	0.0410959	0.0612245	0.05	0.0648148	0.0543478	0.0620155	0.0625	0.1265823	0.0727273	0.1076923	0.1089109	0.0689655	0.05	0.0	0.0754717	0.2222222	0.1333333	0.0	0.03125	0.0015	0.0106383	0.1153846	0.0740741	0.0326797	0.1315789	0.0574713	0.0952381	0.1212121	0.0791367	0.0402685	0.0446927	
Pink-necked Green-Pigeon (<em class="sci">Treron vernans</em>)	0.0	0.0	0.0031949	0.0015	0.0	0.0028329	0.0031447	0.0	0.0032895	0.0	0.0	0.0050761	0.0	0.0	0.0070423	0.0	0.0	0.0	0.0	0.0	0.0092593	0.0	0.0077519	0.0	0.0	0.0	0.0	0.0	0.0	0.0166667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0065789	0.0229885	0.0	0.0	0.0215827	0.0	0.0055866	
Orange-breasted Green-Pigeon (<em class="sci">Treron bicinctus</em>)	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0057471	0.0059524	0.0	0.0	0.0	0.0	
Ashy-headed Green-Pigeon (<em class="sci">Treron phayrei</em>)	0.0053476	0.0	0.0	0.002584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0050761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0108696	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0071942	0.0067114	0.0	
Thick-billed Green-Pigeon (<em class="sci">Treron curvirostra</em>)	0.2032086	0.2094017	0.2236422	0.2403101	0.2931034	0.2011331	0.2232704	0.2138365	0.2203947	0.1935484	0.2	0.142132	0.2205882	0.1818182	0.1408451	0.1849315	0.1565217	0.2465753	0.1836735	0.125	0.0648148	0.0543478	0.0930233	0.0803571	0.0632911	0.1090909	0.1230769	0.1188119	0.1034483	0.1166667	0.030303	0.1132075	0.0833333	0.2	0.03125	0.03125	0.1860465	0.1914894	0.1730769	0.1481481	0.1633987	0.1776316	0.1609195	0.202381	0.219697	0.2589928	0.2348993	0.2346369	
